"","X","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"146",392,"9018.1","9018","Drought","12/11-18","14,000","14,1",7.1,NA,50.72944444,44.72916667,"9018"
"147",393,"9018.9","9018","Control","12/11-18","12,500","9,1",7,NA,61.21034722,NA,"9018"
"148",394,"b40-14.7","b40-14","Control","12/11-18","14,000","9,1",5.3,NA,NA,NA,"b40-14"
"149",395,"NY1.10","NY1","Control","12/11-18","13,500","9,3",8,NA,40.37319444,100.2959028,"NY1"
"150",396,"NY1.4","NY1","Drought","12/11-18","14,000","14,2",9,NA,25.81340278,37.73243056,"NY1"
"151",397,"SC2.1","SC2","Control","12/11-18","10,500","11,9",6,NA,59.49875,NA,"SC2"
"152",398,"T48.10","T48","Control","12/11-18","10,000","11,2",8,NA,41.58680556,69.74916667,"T48"
"153",399,"T48.3","T48","Drought","12/11-18","14,100","11,9",7.8,NA,34.23340278,NA,"T48"
"154",400,"T52.5","T52","Drought","12/11-18","14,500",NA,10.6,NA,20.75090278,61.68694444,"T52"
"155",401,"T52.8","T52","Control","12/11-18","12,000","13,4",6.5,NA,83.17444444,NA,"T52"
"156",402,"TXNM0821.1","TXNM0821","Drought","12/11-18","11,000","10,2",6.3,NA,71.24854167,79.66354167,"TXNM0821"
"157",403,"TXNM0821.5","TXNM0821","Control","12/11-18","12,000","8,8",5,NA,61.21638889,NA,"TXNM0821"
"158",404,"TXNM0821.8","TXNM0821","Drought","12/11-18","10,000","8,4",5.3,NA,71.86013889,80.94736111,"TXNM0821"
"159",405,"V60-96.9","V60-96","Control","12/11-18","9,500","10,4",5.8,NA,71.08479167,71.94597222,"V60-96"
"160",406,"Vru42.9","Vru42","Control","12/11-18","13,500","10,9",7.2,NA,36.32291667,35.07263889,"Vru42"
"161",407,"9035.3","9035","Drought","12/11-18","13,500","13,0",7.5,54.57520833,85.59493056,57.43027778,"9035"
"162",408,"9018.2","9018","Drought","12/11-18","14,500","14,4",11.5,21.36090278,23.19145833,40.05861111,"9018"
"163",409,"9018.7","9018","Control","12/11-18","12,000","14,0",7.2,71.15333333,44.67333333,52.38138889,"9018"
"164",410,"9031.8","9031","Control","12/11-18","10,500","11,0",9.5,55.56972222,84.53520833,53.00194444,"9031"
