"","ID","species_geno","Treatment","Date","WPType","WP","Date_group"
"287","9031.6","9031","Control","12/2","LWP",13.6,"Dec 01 to 03"
"288","9035.3","9035","Drought","12/2","LWP",14.8,"Dec 01 to 03"
"289","9035.9","9035","Control","12/2","LWP",12,"Dec 01 to 03"
"290","b40-14.7","b40-14","Control","12/2","LWP",12.2,"Dec 01 to 03"
"291","b42-34.7","b42-34","Control","12/2","LWP",11.7,"Dec 01 to 03"
"292","NY1.10","NY1","Control","12/2","LWP",14.5,"Dec 01 to 03"
"293","SC2.1","SC2","Control","12/2","LWP",12.5,"Dec 01 to 03"
"294","T48.10","T48","Control","12/2","LWP",14.5,"Dec 01 to 03"
"295","T48.3","T48","Drought","12/2","LWP",11.7,"Dec 01 to 03"
"296","T52.8","T52","Control","12/2","LWP",13.2,"Dec 01 to 03"
"297","TXNM0821.1","TXNM0821","Drought","12/2","LWP",11.5,"Dec 01 to 03"
"298","TXNM0821.5","TXNM0821","Control","12/2","LWP",11.6,"Dec 01 to 03"
"299","TXNM0821.8","TXNM0821","Drought","12/2","LWP",13.5,"Dec 01 to 03"
"300","V60-96.4","V60-96","Drought","12/2","LWP",14.9,"Dec 01 to 03"
"301","V60-96.9","V60-96","Control","12/2","LWP",13.2,"Dec 01 to 03"
"302","Vru42.9","Vru42","Control","12/2","LWP",11.7,"Dec 01 to 03"
"303","9018.2","9018","Drought","12/2","LWP",11.5,"Dec 01 to 03"
"304","9018.7","9018","Control","12/2","LWP",10.5,"Dec 01 to 03"
"305","9031.3","9031","Drought","12/2","LWP",9.5,"Dec 01 to 03"
"306","9031.8","9031","Control","12/2","LWP",12,"Dec 01 to 03"
"307","9035.6","9035","Control","12/2","LWP",9.5,"Dec 01 to 03"
"308","b40-14.8","b40-14","Control","12/2","LWP",13,"Dec 01 to 03"
"309","b42-34.3","b42-34","Drought","12/2","LWP",14,"Dec 01 to 03"
"310","b42-34.8","b42-34","Control","12/2","LWP",12,"Dec 01 to 03"
"311","NY1.3","NY1","Drought","12/2","LWP",12.5,"Dec 01 to 03"
"312","NY1.7","NY1","Control","12/2","LWP",9.5,"Dec 01 to 03"
"313","SC2.2","SC2","Drought","12/2","LWP",13,"Dec 01 to 03"
"314","T48.5","T48","Drought","12/2","LWP",14,"Dec 01 to 03"
"315","T48.9","T48","Control","12/2","LWP",11,"Dec 01 to 03"
"316","T52.2","T52","Drought","12/2","LWP",12,"Dec 01 to 03"
"317","T52.9","T52","Control","12/2","LWP",11,"Dec 01 to 03"
"318","TX6704.10","TX6704","Control","12/2","LWP",11.5,"Dec 01 to 03"
"319","TXNM0821.6","TXNM0821","Control","12/2","LWP",12,"Dec 01 to 03"
