"","X","ID","Treatment","ID.Order","Genotype","Species","Block","Date","pd_pot","md_pot","pd_pot_als","harvest_sm","GWC_top","GWC_bottom","stem_diam","canopy_biomass","perc_canopy","dry_root_bag","bag_tare","root_biomass","perc_root","root_g","total_root_length","sys_area","surface_area","srl","srsa","exud_time","exud","exud_flow","exud_gg","exp","species_geno"
"59",154,"b42-34.10","Control",40,"b42-34","cinerea",3,"12/16",NA,"",11.5,NA,NA,NA,3.83,58.8,NA,"12.2165",6.3807,5.8358,0.09,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"cinerea_b42-34"
"60",155,"b42-34.2","Drought",32,"b42-34","cinerea",1,"12/11",11.2,"14",17.42,NA,NA,NA,3.77,25.2,NA,"13.6962",6.3807,7.3155,0.22,NA,NA,NA,NA,NA,"",172,"0.0057",0,NA,NA,"cinerea_b42-34"
"61",156,"b42-34.3","Drought",33,"b42-34","cinerea",5,"12/18",NA,"",NA,NA,0.057026263,0.047664671,3.49,11.2,NA,"10.5176",6.3807,4.1369,0.27,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"cinerea_b42-34"
"62",157,"b42-34.4","Drought",34,"b42-34","cinerea",4,"12/18",11.9,"15.4",14.14,NA,0.170781762,NA,3.78,15.4,NA,"14.1749",6.3807,7.7942,0.34,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"cinerea_b42-34"
"63",158,"b42-34.5","Drought",35,"b42-34","cinerea",3,"12/16",NA,"",12.4,NA,NA,NA,3.41,17.8,NA,"15.4567",6.3807,9.076,0.34,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"cinerea_b42-34"
"64",159,"b42-34.6","Control",36,"b42-34","cinerea",1,"12/11",5.8,"11.5",11.5,NA,NA,NA,3.99,42.1,NA,"11.3137",6.3807,4.933,0.1,NA,NA,NA,NA,NA,"",178,"0.1244",7e-04,NA,NA,"cinerea_b42-34"
"65",160,"b42-34.7","Control",37,"b42-34","cinerea",4,"12/17",4.5,"11.06",10.6,NA,NA,NA,4.89,51.3,NA,"12.8803",6.3807,6.4996,0.11,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"cinerea_b42-34"
"66",161,"b42-34.8","Control",38,"b42-34","cinerea",5,"12/18",NA,"",NA,NA,0.362933075,0.472469929,4.27,23.9,NA,"12.5245",6.3807,6.1438,0.2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"cinerea_b42-34"
"67",162,"b42-34.9","Control",39,"b42-34","cinerea",2,"12/15",8.9,"11.6",10.9,NA,0.510991633,0.536224297,4.88,56.8,NA,"12.8914",6.3807,6.5107,0.1,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"cinerea_b42-34"
"68",199,"NY1.1","Drought",41,"NY1","V. riparia",1,"12/11",7.1,"12",9.1,NA,NA,NA,5.38,10.5,NA,"17.9781",6.3807,11.5974,0.52,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. riparia_NY1"
"69",200,"NY1.10","Control",50,"NY1","V. riparia",4,"12/17",8.6,"9",7.5,NA,0.363254161,0.420853284,5.71,76.6,NA,"23.3181",6.3807,16.9374,0.18,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. riparia_NY1"
