"","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"221","NY1.7","NY1","Control",12.2,"9,500",NA,"8,00",83.23729167,NA,NA,"NY1"
"222","T48.5","T48","Drought",12.2,"14,000",NA,"10,70",39.46416667,NA,NA,"T48"
"223","T48.9","T48","Control",12.2,"11,000",NA,NA,49.60131944,NA,NA,"T48"
"224","T52.2","T52","Drought",12.2,"12,000",NA,"9,40",40.01340278,NA,NA,"T52"
"225","T52.9","T52","Control",12.2,"11,000",NA,"7,90",67.72111111,NA,NA,"T52"
"226","TXNM0821.6","TXNM0821","Control",12.2,"12,000",NA,"6,70",94.75618056,NA,NA,"TXNM0821"
"227","V60-96.10","V60-96","Control",12.2,"7,000",NA,"9,10",66.28826389,NA,NA,"V60-96"
"228","V60-96.5","V60-96","Drought",12.2,"13,500",NA,NA,22.99159722,NA,NA,"V60-96"
"229","Vru42.4","Vru42","Drought",12.2,"14,000",NA,"9,90",29.20222222,NA,NA,"Vru42"
"230","Vru42.7","Vru42","Control",12.2,"14,000",NA,"8,30",41.96194444,NA,NA,"Vru42"
"231","9018.5","9018","Drought",12.11,"11,300","11,0","8,10",NA,44.59826389,44.51444444,"9018"
"232","9018.6","9018","Control",12.11,"7,000","9,4","6,70",NA,40.23388889,36.60055556,"9018"
"233","b40-14.10","b40-14","Control",12.11,"10,800","10,4","7,00",35.25944444,NA,23.37520833,"b40-14"
"234","b42-34.6","b42-34","Control",12.11,"13,900","11,5","5,80",30.39694444,NA,33.01541667,"b42-34"
"235","NY1.1","NY1","Drought",12.11,"11,600","12,0","7,10",33.53409722,NA,61.74125,"NY1"
"236","NY1.6","NY1","Control",12.11,"10,700","11,6",NA,93.96083333,NA,99.88951389,"NY1"
"237","T48.4","T48","Drought",12.11,"11,900","11,9","7,00",NA,57.34263889,65.72638889,"T48"
"238","T48.7","T48","Control",12.11,"9,900","9,2","4,80",66.94722222,NA,102.85125,"T48"
"239","T52.3","T52","Drought",12.11,"13,900","12,9","10,40",NA,44.03166667,43.93673611,"T52"
"240","T52.7","T52","Control",12.11,"11,400","8,5","3,90",67.46395833,NA,63.51458333,"T52"
"241","TXNM0821.10","TXNM0821","Control",12.11,"10,200","7,3","4,90",122.4475,NA,97.70715278,"TXNM0821"
"242","TXNM0821.4","TXNM0821","Drought",12.11,"9,300","9,9","4,10",NA,58.55208333,76.89895833,"TXNM0821"
"243","V60-96.3","V60-96","Drought",12.11,"13,300","13,2","6,40",NA,21.20104167,64.24951389,"V60-96"
"244","V60-96.8","V60-96","Control",12.11,"11,400","10,0","4,80",NA,60.32111111,59.99104167,"V60-96"
"245","Vru42.1","Vru42","Drought",12.11,"12,900",NA,"8,80",NA,27.85888889,27.61347222,"Vru42"
"246","Vru42.10","Vru42","Control",12.11,"12,900","12,0","6,80",26.3525,NA,20.43520833,"Vru42"
"247","9018.3","9018","Drought",12.11,"14,500",NA,NA,NA,NA,NA,"9018"
"248","T52.1","T52","Drought",12.11,"9,500",NA,NA,NA,NA,NA,"T52"
"249","V60-96.1","V60-96","Drought",12.11,"11,500",NA,NA,NA,NA,NA,"V60-96"
"250","Vru42.6","Vru42","Control",12.11,"5,457",NA,NA,NA,NA,NA,"Vru42"
"251","9018.3","9018","Drought",12.15,"14,500","13,2","8,30",42.22166667,NA,50.17895833,"9018"
"252","9018.8","9018","Control",12.15,"11,500","9,6","6,40",59.34645833,60.30756944,51.67430556,"9018"
"253","b40-14.6","b40-14","Control",12.15,"13,000","13,9","6,20",32.210625,51.10486111,32.11944444,"b40-14"
"254","b42-34.1","b42-34","Drought",12.15,"14,600",NA,"8,60",29.10715278,35.29972222,35.41236111,"b42-34"
"255","b42-34.9","b42-34","Control",12.15,"12,600","12,4","8,50",61.11465278,37.85194444,44.78736111,"b42-34"
"256","NY1.5","NY1","Drought",12.15,"12,900","10,6","6,30",38.95375,43.46381944,55.01347222,"NY1"
"257","NY1.9","NY1","Control",12.15,"14,600","7,4","8,00",52.84916667,71.47409722,109.7648611,"NY1"
"258","T48.2","T48","Drought",12.15,"7,500","14,5","7,00",68.15659722,54.58694444,63.80965278,"T48"
"259","T48.6","T48","Control",12.15,"12,600","12,0","6,20",94.50506944,63.89354167,86.07256944,"T48"
"260","T52.1","T52","Drought",12.15,"9,500",NA,"5,10",50.43138889,60.92993056,71.27826389,"T52"
"261","T52.6","T52","Control",12.15,"8,500","9,0","6,40",73.95520833,52.97451389,52.84909722,"T52"
"262","TXNM0821.7","TXNM0821","Control",12.15,"7,500","11,1","5,20",98.01569444,40.02958333,120.0670833,"TXNM0821"
"263","V60-96.1","V60-96","Drought",12.15,"11,500","11,9","7,80",26.24534722,14.89868056,22.4475,"V60-96"
"264","V60-96.7","V60-96","Control",12.15,"8,400","10,5","4,70",111.1334722,NA,99.79951389,"V60-96"
"265","Vru42.6","Vru42","Control",12.15,"13,600","13,0","6,30",24.83,21.35694444,32.79,"Vru42"
"266","9018.10","9018","Control",12.16,"14,300","11,2","6,00",60.17694444,41.97506944,68.86006944,"9018"
