"","X","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno","PSWC","POSWC"
"95",95,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/02",6.1205,0.466519499,1,6.587019499,6.5875,NA,NA,NA,0.0879823588,0.8,0.642047297435603,"acerifolia_9018",0.860103991006183,0.925730747611017
"96",96,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/04",6.2795,0.307519499,1,6.587019499,6.592,NA,NA,NA,0.0655000000000007,0.8,0.741956462064785,"acerifolia_9018",0.882448004496908,0.926363125351321
"97",97,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/06",6.286,0.301019499,1,6.587019499,6.5815,NA,NA,NA,0.17,0.8,0.744035933797842,"acerifolia_9018",0.88336143901068,0.924887577290613
"98",98,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/09",5.9565,0.630519499,1,6.587019499,6.6005,NA,NA,NA,0.373,0.8,0.679761352957877,"acerifolia_9018",0.837057335581788,0.927557616638561
"99",99,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/11",6.14,0.447019499,1,6.587019499,6.58,NA,NA,NA,0.290500000000001,0.8,0.718042537134621,"acerifolia_9018",0.862844294547499,0.924676784710512
"100",100,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/13",6.19,0.397019499,1,6.587019499,6.59,NA,NA,NA,0.242,0.8,0.723619302236912,"acerifolia_9018",0.869870713884205,0.926082068577853
"101",101,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/23",6.498,0.353509749,1,6.851509749,6.97,NA,NA,NA,0.214,0.9,0.853680807260092,"acerifolia_9018",0.913153456998314,0.979482855536818
"102",102,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/25",6.31,0.541509749,1,6.851509749,6.95,NA,NA,NA,0.458258078,0.9,0.820031173761521,"acerifolia_9018",0.886734120292299,0.976672287802136
"103",103,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/27",6.298,0.553509749,1,6.851509749,6.8715,NA,NA,NA,0.4834,0.9,0.813981801447171,"acerifolia_9018",0.88504777965149,0.965640809443508
"104",104,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/30",6.66,0.191509749,1,6.851509749,6.85,NA,NA,NA,0.5052,0.9,0.867575459294614,"acerifolia_9018",0.935919055649241,0.962619449128724
"105",105,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"12/02",6.8,0.051509749,1,6.851509749,6.86,NA,NA,NA,0.464829039,0.9,0.88997704114619,"acerifolia_9018",0.955593029792018,0.964024732996065
