"","ID","Genotype","Treatment","Date","LWP.area","species_geno","SWP.area","PD.area","WPType","WP"
"203","255189.01.1","255189.01","Drought","11/9-11",21.70777778,"255189.01",NA,NA,"LWP",11.7
"204","255189.01.1","255189.01","Drought","11/9-11",21.70777778,"255189.01",NA,NA,"PD",NA
"205","255189.01.1","255189.01","Drought","11/16-17",58.54770833,"255189.01",NA,NA,"SWP",NA
"206","255189.01.1","255189.01","Drought","11/16-17",58.54770833,"255189.01",NA,NA,"LWP",10.7
"207","255189.01.1","255189.01","Drought","11/16-17",58.54770833,"255189.01",NA,NA,"PD",NA
"208","255189.01.1","255189.01","Drought","12/01-02",47.95736111,"255189.01",NA,NA,"SWP",NA
"209","255189.01.1","255189.01","Drought","12/01-02",47.95736111,"255189.01",NA,NA,"LWP",13.5
"210","255189.01.1","255189.01","Drought","12/01-02",47.95736111,"255189.01",NA,NA,"PD",NA
"211","255189.01.1","255189.01","Drought","12/11-18",NA,"255189.01",NA,57.42604167,"SWP",NA
"212","255189.01.1","255189.01","Drought","12/11-18",NA,"255189.01",NA,57.42604167,"LWP",12.7
"213","255189.01.1","255189.01","Drought","12/11-18",NA,"255189.01",NA,57.42604167,"PD",6.7
"214","255189.01.10","255189.01","Control","11/9-11",21.29027778,"255189.01",NA,NA,"SWP",NA
"215","255189.01.10","255189.01","Control","11/9-11",21.29027778,"255189.01",NA,NA,"LWP",6.4
"216","255189.01.10","255189.01","Control","11/9-11",21.29027778,"255189.01",NA,NA,"PD",NA
"217","255189.01.10","255189.01","Control","11/16-17",53.31923611,"255189.01",NA,NA,"SWP",NA
"218","255189.01.10","255189.01","Control","11/16-17",53.31923611,"255189.01",NA,NA,"LWP",7.9
"219","255189.01.10","255189.01","Control","11/16-17",53.31923611,"255189.01",NA,NA,"PD",NA
"220","255189.01.10","255189.01","Control","12/01-02",96.53805556,"255189.01",NA,NA,"SWP",NA
"221","255189.01.10","255189.01","Control","12/01-02",96.53805556,"255189.01",NA,NA,"LWP",10
"222","255189.01.10","255189.01","Control","12/01-02",96.53805556,"255189.01",NA,NA,"PD",NA
