ID,Genotype,Treatment,Date,LWP,SWP,PD,LWP.area,SWP.area,PD.area
TXNM0821.3,TXNM0821,Drought,11.16,10,,,,,
TXNM0821.7,TXNM0821,Control,11.16,8,,,,,
UT12-075.10,UT12-075,Control,11.16,7,,,,,
V57-96.2,V57-96,Drought,11.16,12,,,,,
V57-96.6,V57-96,Control,11.16,13,,,,,
V60-96.7,V60-96,Control,11.16,9,,,,,
Vru42.5,Vru42,Drought,11.16,11,,,,,
1149.2,1149,Drought,11.16,10,,,,,
2214.4.1,2214.4,Drought,11.16,11,,,,,
255189.01.5,255189.01,Drought,11.16,7,,,,,
255189.01.8,255189.01,Control,11.16,13,,,,,
588155.01.9,588155.01,Control,11.16,12,,,,,
9018.1,9018,Control,11.16,10,,,,,
9018.4,9018,Drought,11.16,7,,,,,
9025.4,9025,Drought,11.16,11,,,,,
9035.8,9035,Control,11.16,10,,,,,
ANU65.1,ANU65,Drought,11.16,9,,,,,
ANU65.10,ANU65,Control,11.16,9,,,,,
b40-14.3,b40-14,Drought,11.16,11,,,,,
b40-14.9,b40-14,Control,11.16,13,,,,,
b42-24.10,b42-24,Control,11.16,9,,,,,
b42-24.5,b42-24,Drought,11.16,11,,,,,
b42-34.10,b42-34,Control,11.16,11,,,,,
CC12.6,CC12,Control,11.16,10,,,,,
Haines2.5,Hanes2,Drought,11.16,8,,,,,
SC2.4,SC2,Drought,11.16,8,,,,,
TX6704.5,TX6704,Drought,11.16,10,,,,,
TXNM0821.2,TXNM0821,Drought,11.16,8,,,,,
UT12-075.8,UT12-075,Control,11.16,9,,,,,
V57-96.4,V57-96,Drought,11.16,9,,,,,
Vru42.8,Vru42,Control,11.16,11,,,,,
1149.7,1149,Control,11.17,11,,,,,
2214.4.6,2214.4,Control,11.17,11,,,,,
2970.3,2970,Control,11.17,8,,,,,
9031.9,9031,Control,11.17,10,,,,,
9035.1,9035,Drought,11.17,10,,,,,
C56-94.1,C56-94,Drought,11.17,11,,,,,
C56-94.8,C56-94,Control,11.17,9,,,,,
CC12.2,CC12,Drought,11.17,11,,,,,
Haines2.6,Hanes2,Control,11.17,14,,,,,
Haines2.8,Hanes2,Control,11.17,12,,,,,
NY1.2,NY1,Drought,11.17,8,,,,,
NY1.8,NY1,Control,11.17,14,,,,,
OCK1-S02.1,OCK1-S02,Drought,11.17,9,,,,,
OCK1-S02.6,OCK1-S02,Control,11.17,8,,,,,
SC2.8,SC2,Control,11.17,11,,,,,
T48.1,T48,Drought,11.17,11,,,,,
T52.10,T52,Control,11.17,9,,,,,
T52.4,T52,Drought,11.17,12,,,,,
TX6704.8,TX6704,Control,11.17,12,,,,,
TXNM0821.9,TXNM0821,Control,11.17,8,,,,,
V60-96.6,V60-96,Control,11.17,10,,,,,
Vru42.2,Vru42,Drought,11.17,12,,,,,
1149.1,1149,Drought,11.17,11,,,,,
1149.6,1149,Control,11.17,8,,,,,
2214.4.2,2214.4,Drought,11.17,8,,,,,
