ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_pot,md_pot,pd_pot_als,harvest_sm,GWC_top,GWC_bottom,stem_diam,canopy_biomass,perc_canopy,dry_root_bag,bag_tare,root_biomass,perc_root,root_g,total_root_length,sys_area,surface_area,srl,srsa,exud_time,exud,exud_flow,exud_gg,exp,epson_file,dpi,mask_imagej,brown_imagej,perc_sub,perc_white,figure,figure_class
9035.1,Drought,21,9035,berlandieri,3,2020,12/16/20,9.5,11.7,,,,,5.91,15.9,,24.2257,6.3807,17.845,0.53,,,,,,,,,,,,,,,,,,,
9035.2,Drought,22,9035,V. berlandieri,2,2020,12/15/20,6.3,10.6,,,0.30696563,0.122862799,6.11,8.5,,22.9164,6.3807,16.5357,0.66,,,,,,,,,,,,,,,,,,,
9035.3,Drought,23,9035,V. berlandieri,4,2020,12/17/20,6.8,20.2,,,0.236766044,0.152520539,6.37,11,0.39,23.8103,6.3807,17.4296,0.61,,,,,,,,,,,,,,,,,,,
9035.4,Drought,24,9035,V. berlandieri,5,2020,12/18/20,5,12.5,,,0.093416508,0.066506041,6.53,10.4,,20.9203,6.3807,14.5396,0.58,,,,,,,,,,,,,,,,,,,
9035.6,Control,26,9035,V. berlandieri,5,2020,12/18/20,13.1,16.1,,,0.397329013,0.494938358,5.5,32.8,,18.6521,6.3807,12.2714,0.27,,,,,,,,,,,,,,,,,,,
9035.7,Control,27,9035,V. berlandieri,2,2020,12/15/20,8.3,12.9,,,0.50009521,0.61529735,5.56,36.6,,15.5316,6.3807,9.1509,0.2,,,,,,,78,0.167,0.0021,,,,,,,,,,
9035.8,Control,28,9035,V. berlandieri,3,2020,12/16/20,8,6.7,,,0.414764503,0.462451241,6.51,40.4,0.74,20.3049,6.3807,13.9242,0.26,,,,,,,,,,,,,,,,,,,
9035.9,Control,29,9035,V. berlandieri,4,2020,12/17/20,6,11.9,,,,,6.73,47.4,,25.9742,6.3807,19.5935,0.29,,,,,,,129,0.5892,0.0046,,,,,,,,,,
2214.4.1,Drought,51,2214.4,bloodworthiana,3,2020,12/16/20,8,10.8,,,0.114763566,0.182706204,4.17,14.9,,15.9624,6.3807,9.5817,0.39,,,,,,,,,,,,,,,,,,,
2214.4.10,Control,60,2214.4,bloodworthiana,5,2020,12/18/20,6.3,12.1,,,0.293257011,0.118174705,5.47,48.2,,11.7142,6.3807,5.3335,0.1,,,,,,,,,,,,,,,,,,,
