ID,Genotype,Species,Treatment,Order within block,mPot (kg),Dry weight of soil (kg),mH2O (kg),Date,PWW,WA,BB,TW,POWW,PD.WT,midday.WT,POWW.NOTES,WU,tgt_swc,SWC
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/23,5.15,1.215007428,1,6.365007428,6.36,NA,NA,NA,0.9719999999999998,0.9,0.6530507055536363
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/25,5.45,0.915007428,1,6.365007428,6.38,NA,NA,NA,0.7082580780000002,0.9,0.7122361734297806
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/27,5.381,0.984007428,1,6.365007428,6.394,NA,NA,NA,0.8303999999999997,0.9,0.7022358702369149
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,11/30,5.66,0.705007428,1,6.365007428,6.36,NA,NA,NA,1.0277,0.9,0.762033601573847
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,12/02,6.25,0.115007428,1,6.365007428,6.36,NA,NA,NA,0.5248290390000003,0.9,0.8755064296398343
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,12/04,5.81,0.555007428,2,6.365007428,6.36,NA,NA,NA,0.9648290390000007,0.9,0.7857077887243047
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,12/07,6.09,6.592875116,2,6.152514856,6.59,NA,NA,NA,1.3400000000000003,0.9,0.8862195242392901
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,12/09,6,0.990382544,2,6.152514856,6,NA,NA,NA,0.9319999999999998,0.9,0.958158964917516
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,12/14,6.01,0.387507428,2,6.397507428,6.4,NA,NA,NA,1.2149999999999999,0.9,0.8209144536839261
1149.6,1149,treleasei,Control,35,6.61,3.90807428,2.44992572,12/16,5.46,0.905007428,2,6.365007428,6.36,NA,NA,NA,0.7975000000000004,0.9,0.7152990066980479
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,10/28,5.75,0.611823584,1,6.361823584,NA,NA,NA,NA,0.48448644380000006,0.8,0.5611322025516762
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,10/30,5.69,0.671823584,1,6.361823584,NA,NA,NA,NA,0.5148864438,0.8,0.548391511692301
