ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_mpa,pd_pot,md_mpa,md_pot,figure,pd_pot_als,sm_wet_top,sm_wet_bot,sm_dry_top,sm_dry_bot,GWC_top,GWC_bottom,stem_diam,canopy_biomass,dry_root_bag,bag_tare,root_biomass,root_g,exud_time,exud,exud_flow,exud_gg,exud_ro,exud_s,exp,parameter,epson_file,mask_imagej,brown_imagej,perc_white
255189.01.2,Drought,273,255189.01,riparia,2,2020,12/15/2020,,6.4,,9.6,,,10.7353,,,,0.116,0.172,7.60,18.30,25.81820,,,,,,,,,,,,,,,
255189.01.3,Drought,274,255189.01,riparia,5,2020,12/18/2020,,16.1,,24.9,,,,,,,0.060,0.054,5.39,7.10,18.91950,,,,,,,,,,,,,,,
255189.01.4,Drought,275,255189.01,riparia,4,2020,12/17/2020,,7.1,,11.5,,,9.7786,10.0372,,,,,5.11,10.00,23.72620,,,,,,,,,,,,,,,
255189.01.5,Drought,276,255189.01,riparia,3,2020,12/16/2020,,9.5,,14.8,,,10.1500,9.9161,,,0.128,0.094,6.015,20.70,21.81680,,,,,,,,,,,,,,,
255189.01.6,Control,277,255189.01,riparia,4,2020,12/17/2020,,7,,10.2,,,13.0763,,,,,,7.685,110.80,31.60000,,,,,,,,,,,,,,,
255189.01.7,Control,278,255189.01,riparia,1,2020,12/11/2020,,5.8,,14,,,,,,,,,7.34,82.10,35.51310,,,,,,,,,,,,,,,
255189.01.8,Control,279,255189.01,riparia,3,2020,12/16/2020,,,,11.3,,,11.8368,12.5993,,,0.402,0.502,8.58,60.50,27.05470,,,,,,,,,,,,,,,
255189.01.9,Control,280,255189.01,riparia,2,2020,12/15/2020,,7.4,,10.9,,,10.9301,,,,0.244,0.455,8.28,87.10,37.63490,,,,91,0.79793,0.008768461538,,,,,,,,,
588155.01.1,Drought,111,588155.01,palmata,2,2020,12/15/2020,,7,,14.5,,,8.5405,10.0003,,,0.076,0.549,3.82,18.90,32.89140,,,,,,,,,,,,,,,
588155.01.10,Control,120,588155.01,palmata,2,2020,12/15/2020,,6.4,,13.4,,,11.5176,13.0228,,,,,5.16,33.50,20.59900,,,,,,,,,,,,,,,
588155.01.2,Drought,112,588155.01,palmata,3,2020,12/16/2020,,8,,11.2,,,,,,,,,4.30,8.70,26.17690,,,,,,,,,,,,,,,
