ID,Genotype,Species,Treatment,Block,11.9.lwp,11.9.lwp.area,11.10.lwp,11.10.lwp.area,11.11.pd,11.11.lwp,11.11.lwp.area,11.12.pd,11.13.pd,11.16.lwp,11.16.lwp.area,11.17.lwp,11.17.lwp.area,11.18.als.pd,12.1.pd,12.1.lwp,12.1.lwp.area,12.2.pd,12.2.lwp,12.2.lwp.area,12.3.pd,12.11.pd,12.11.pd.area,12.11.swp,12.11.swp.area,12.11.lwp,12.11.lwp.area,12.15.pd,12.15.pd.area,12.15.swp,12.15.swp.area,12.15.lwp,12.15.lwp.area,12.16.pd,12.16.pd.area,12.16.swp,12.16.swp.area,12.16.lwp,12.16.lwp.area,12.17.pd,12.17.pd.area,12.17.swp,12.17.swp.area,12.17.lwp,12.18.pd,12.18.pd.area,12.18.swp,12.18.swp.area,12.18.lwp,12.18.lwp.area
9025.5,9025,cinerea,Drought,2,,,11.9,31.62416667,11.3,,,,,14.5,38.95520833,,,,5.9,11.5,45.49125,,,,,,,,,13.5,MISSING,7.4,66.66826389,10.7,58.80944444,13.5,38.78868056,,,,,,,,,,,,,,,,,
9031.4,9031,berlandieri,Drought,2,,,14.1,54.32888889,12.4,,,,,11.5,52.29208333,,,,8.4,14,39.79895833,,,,,,,,,16,MISSING,12.8,40.65194444,11.6,47.26534722,16,47.42298611,,,,,,,,,,,,,,,,,
9031.7,9031,berlandieri,Control,2,,,13.9,52.60027778,9.6,,,,,14.7,50.14159722,,,,8.6,17,39.38868056,,,,,,,,,,,9.2,47.13166667,10.2,56.07138889,12.6,41.1775,,,,,,,,,,,,,,,,,
9035.2,9035,berlandieri,Drought,2,,,8.7,54.87555556,10,,,,,11,71.630625,,,,7.3,15,56.35576389,,,,,,,,,10.5,MISSING,6.8,65.06125,10.7,52.48125,10.5,56.72590278,,,,,,,,,,,,,,,,,
9035.7,9035,berlandieri,Control,2,,,10.3,72.56611111,10.1,,,,,11.4,44.13479167,,,,7,9.5,202.1852083,,,,,,,,,9,MISSING,5.3,235.8797222,9,MISSING,9,203.6463194,,,,,,,,,,,,,,,,,
ANU65.3,ANU65,arizonica,Drought,2,,,8.7,53.83055556,8.5,,,,,7.5,52.793125,,,,6.2,12,36.41590278,,,,,,,,,,,8.3,36.92298611,11.3,33.38513889,12.8,53.62493056,,,,,,,,,,,,,,,,,
ANU65.9,ANU65,arizonica,Control,2,,,8.8,58.32694444,9.2,,,,,10,47.68159722,,,,6.9,12,75.93479167,,,,,,,,,,,7.3,56.25652778,8.2,66.64194444,10.7,40.95423611,,,,,,,,,,,,,,,,,
b40-14.2,b40-14,arizonica,Drought,2,,,11.9,46.63,11.7,,,,,13.3,52.355,,, ,9.8,19,MISSING,,,,,,,,,,,15.5,41.93701389,11.6,24.860625,16.1,29.86993056,,,,,,,,,,,,,,,,,
b40-14.6,b40-14,arizonica,Control,2,,,10.8,52.86722222,10.4,,,,,12.5,42.77875,,,10,7.3,11.5,25.11229167,,,,,,,,,,,6.2,32.11944444,13.9,51.10486111,13,32.210625,,,,,,,,,,,,,,,,,
b42-24.3,b42-24,peninsularis,Drought,2,,,9.8,43.89305556,11.2,,,,,11.6,36.63986111,,,,7.6,15,31.93590278,,,,,,,,,12.5,MISSING,8.9,32.241875,12.2,49.45395833,12.5,34.07506944,,,,,,,,,,,,,,,,,
b42-24.6,b42-24,peninsularis,Control,2,,,9.8,49.35944444,8.3,,,,,11.6,62.98541667,,,,7.8,10.5,66.248125,,,,,,,,,,,6.8,86.72881944,9.4,40.39527778,12.6,49.33430556,,,,,,,,,,,,,,,,,
b42-34.1,b42-34,cinerea,Drought,2,,,9.5,38.07166667,DO TOMORROW,,,,8.7,13.2,48.89791667,,,14.3,10,14.5,44.31763889,,,,,,,,,,,8.6,35.41236111,17,35.29972222,14.6,29.10715278,,,,,,,,,,,,,,,,,
