ID;Genotype;Treatment;Date;LWP;SWP;PD;LWP.area;SWP.area;PD.area
9025.7;9025;Control;11.11;9,500;NA;NA;12.04361111;NA;NA
9031.1;9031;Drought;11.11;11,600;NA;NA;19.43111111;NA;NA
9031.6;9031;Control;11.11;10,900;NA;NA;12.07777778;NA;NA
9035.3;9035;Drought;11.11;8,500;NA;NA;21.50055556;NA;NA
9035.9;9035;Control;11.11;7,000;NA;NA;25.49694444;NA;NA
ANU65.4;ANU65;Drought;11.11;8,600;NA;NA;19.31861111;NA;NA
ANU65.6;ANU65;Control;11.11;7,000;NA;NA;20.97916667;NA;NA
b40-14.5;b40-14;Drought;11.11;7,500;NA;NA;16.37777778;NA;NA
b40-14.7;b40-14;Control;11.11;8,500;NA;NA;15.66444444;NA;NA
b42-24.2;b42-24;Drought;11.11;9,500;NA;NA;17.57944444;NA;NA
b42-24.8;b42-24;Control;11.11;6,500;NA;NA;15.79972222;NA;NA
b42-34.4;b42-34;Drought;11.11;12,000;NA;NA;19.22166667;NA;NA
b42-34.7;b42-34;Control;11.11;11,500;NA;NA;12.79416667;NA;NA
C56-94.10;C56-94;Control;11.11;12,000;NA;NA;11.73083333;NA;NA
C56-94.2;C56-94;Drought;11.11;10,500;NA;NA;15.31166667;NA;NA
CC12.4;CC12;Drought;11.11;9,000;NA;NA;31.99027778;NA;NA
CC12.7;CC12;Control;11.11;7,000;NA;NA;29.71555556;NA;NA
Haines.3;Haines;Drought;11.11;7,000;NA;NA;18.49638889;NA;NA
Haines.8;Haines;Control;11.11;8,500;NA;NA;25.61138889;NA;NA
Haines2.4;Hanes2;Control;11.11;7,100;NA;NA;29.09416667;NA;NA
NY1.10;NY1;Control;11.11;11,500;NA;NA;34.20027778;NA;NA
NY1.4;NY1;Drought;11.11;10,000;NA;NA;23.61555556;NA;NA
OCK1-S02.3;OCK1-S02;Drought;11.11;7,000;NA;NA;34.00666667;NA;NA
OCK1-S02.9;OCK1-S02;Control;11.11;6,500;NA;NA;38.68833333;NA;NA
SC2.1;SC2;Control;11.11;5,500;NA;NA;17.88916667;NA;NA
T48.10;T48;Control;11.11;9,000;NA;NA;17.81722222;NA;NA
T48.3;T48;Drought;11.11;10,500;NA;NA;25.03805556;NA;NA
T52.5;T52;Drought;11.11;10,000;NA;NA;21.085;NA;NA
T52.8;T52;Control;11.11;8,100;NA;NA;19.79138889;NA;NA
TX6704.2;TX6704;Drought;11.11;13,100;NA;NA;18.59138889;NA;NA
TX6704.7;TX6704;Control;11.11;11,900;NA;NA;19.93055556;NA;NA
TXNM0821.1;TXNM0821;Drought;11.11;9,000;NA;NA;27.77111111;NA;NA
TXNM0821.5;TXNM0821;Control;11.11;6,500;NA;NA;34.87861111;NA;NA
TXNM0821.8;TXNM0821;Drought;11.11;9,500;NA;NA;30.64;NA;NA
UT12-075.5;UT12-075;Drought;11.11;9,500;NA;NA;23.12888889;NA;NA
UT12-075.9;UT12-075;Control;11.11;9,000;NA;NA;15.32111111;NA;NA
V57-96.3;V57-96;Drought;11.11;10,000;NA;NA;15.27194444;NA;NA
V57-96.9;V57-96;Control;11.11;12,000;NA;NA;9.032777778;NA;NA
V60-96.4;V60-96;Drought;11.11;6,500;NA;NA;18.6925;NA;NA
Vru42.3;Vru42;Drought;11.11;10,000;NA;NA;12.06083333;NA;NA
Vru42.9;Vru42;Control;11.11;10,000;NA;NA;9.5225;NA;NA
1149.4;1149;Drought;11.11;11,400;NA;NA;15.24527778;NA;NA
1149.9;1149;Control;11.11;8,200;NA;NA;21.61333333;NA;NA
2214.4.10;2214.4;Control;11.11;8,600;NA;NA;11.21444444;NA;NA
2214.4.5;2214.4;Drought;11.11;8,400;NA;NA;10.00861111;NA;NA
255189.01.10;255189.01;Control;11.11;6,400;NA;NA;21.29027778;NA;NA
255189.01.3;255189.01;Drought;11.11;7,200;NA;NA;24.355;NA;NA
2970.10;2970;Control;11.11;7,900;NA;NA;13.48805556;NA;NA
2970.4;2970;Drought;11.11;8,300;NA;NA;12.07305556;NA;NA
9018.7;9018;Control;11.11;7,000;NA;NA;16.52138889;NA;NA
9025.2;9025;Drought;11.11;7,300;NA;NA;15.18833333;NA;NA
9031.3;9031;Drought;11.11;10,800;NA;NA;16.54444444;NA;NA
9031.8;9031;Control;11.11;10,300;NA;NA;21.43361111;NA;NA
9035.4;9035;Drought;11.11;7,900;NA;NA;25.78416667;NA;NA
9035.6;9035;Control;11.11;6,600;NA;NA;17.19416667;NA;NA
ANU65.5;ANU65;Drought;11.11;7,800;NA;NA;10.52277778;NA;NA
ANU65.7;ANU65;Control;11.11;7,800;NA;NA;19.82055556;NA;NA
b40-14.4;b40-14;Drought;11.11;12,300;NA;NA;9.885833333;NA;NA
b40-14.8;b40-14;Control;11.11;9,700;NA;NA;15.24833333;NA;NA
b42-24.4;b42-24;Drought;11.11;12,100;NA;NA;11.07222222;NA;NA
b42-24.9;b42-24;Control;11.11;8,500;NA;NA;17.37722222;NA;NA
b42-34.3;b42-34;Drought;11.11;13,600;NA;NA;13.9925;NA;NA
b42-34.8;b42-34;Control;11.11;7,600;NA;NA;9.992222222;NA;NA
C56-94.4;C56-94;Drought;11.11;8,700;NA;NA;12.52416667;NA;NA
C56-94.9;C56-94;Control;11.11;9,300;NA;NA;16.85416667;NA;NA
CC12.10;CC12;Control;11.11;7,500;NA;NA;18.53666667;NA;NA
CC12.5;CC12;Drought;11.11;8,300;NA;NA;21.55638889;NA;NA
Haines.2;Haines;Drought;11.11;7,900;NA;NA;19.86277778;NA;NA
Haines2.3;Hanes2;Drought;11.11;10,500;NA;NA;23.25083333;NA;NA
NY1.3;NY1;Drought;11.11;10,300;NA;NA;15.98055556;NA;NA
NY1.7;NY1;Control;11.11;7,700;NA;NA;19.95138889;NA;NA
OCK1-S02.7;OCK1-S02;Control;11.11;7,300;NA;NA;35.88888889;NA;NA
SC2.2;SC2;Drought;11.11;8,800;NA;NA;17.56416667;NA;NA
SC2.6;SC2;Control;11.11;6,400;NA;NA;16.865;NA;NA
T48.5;T48;Drought;11.11;8,300;NA;NA;13.98555556;NA;NA
T48.9;T48;Control;11.11;8,200;NA;NA;18.1175;NA;NA
T52.2;T52;Drought;11.11;8,200;NA;NA;15.30666667;NA;NA
T52.9;T52;Control;11.11;8,500;NA;NA;18.81388889;NA;NA
TX6704.10;TX6704;Control;11.11;9,300;NA;NA;13.91138889;NA;NA
TX6704.4;TX6704;Drought;11.11;9,800;NA;NA;10.85833333;NA;NA
TXNM0821.6;TXNM0821;Control;11.11;6,500;NA;NA;21.45138889;NA;NA
V57-96.1;V57-96;Drought;11.11;8,100;NA;NA;10.93027778;NA;NA
V57-96.7;V57-96;Control;11.11;8,400;NA;NA;21.93527778;NA;NA
V60-96.5;V60-96;Drought;11.11;8,300;NA;NA;12.56416667;NA;NA
Vru42.4;Vru42;Drought;11.11;8,400;NA;NA;13.41916667;NA;NA
Vru42.7;Vru42;Control;11.11;8,500;NA;NA;14.14166667;NA;NA
1149.10;1149;Control;11.16;13,600;NA;NA;67.15395833;NA;NA
1149.5;1149;Drought;11.16;10,000;NA;NA;57.57743056;NA;NA
2214.4.3;2214.4;Drought;11.16;11,800;NA;NA;25.19708333;NA;NA
2214.4.8;2214.4;Control;11.16;13,700;NA;NA;44.645;NA;NA
255189.01.1;255189.01;Drought;11.16;10,700;NA;NA;58.54770833;NA;NA
255189.01.7;255189.01;Control;11.16;13,900;NA;NA;84.32541667;NA;NA
2970.1;2970;Drought;11.16;11,100;NA;NA;36.45534722;NA;NA
